,Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,valuation,funding,investors
0,Bytedance,$180B,2017-04-07,Artificial Intelligence,Beijing,China,Asia,2012,$8B,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",180000000000,8000000000,"['Sequoia Capital China', ' SIG Asia Investments', ' Sina Weibo', ' Softbank Group']"
1,SpaceX,$100B,2012-12-01,Other,Hawthorne,United States,North America,2002,$7B,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",100000000000,7000000000,"['Founders Fund', ' Draper Fisher Jurvetson', ' Rothenberg Ventures']"
2,SHEIN,$100B,2018-07-03,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,$2B,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",100000000000,2000000000,"['Tiger Global Management', ' Sequoia Capital China', ' Shunwei Capital Partners']"
3,Stripe,$95B,2014-01-23,Fintech,San Francisco,United States,North America,2010,$2B,"Khosla Ventures, LowercaseCapital, capitalG",95000000000,2000000000,"['Khosla Ventures', ' LowercaseCapital', ' capitalG']"
4,Klarna,$46B,2011-12-12,Fintech,Stockholm,Sweden,Europe,2005,$4B,"Institutional Venture Partners, Sequoia Capital, General Atlantic",46000000000,4000000000,"['Institutional Venture Partners', ' Sequoia Capital', ' General Atlantic']"
5,Canva,$40B,2018-01-08,Internet software & services,Surry Hills,Australia,Oceania,2012,$572M,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",40000000000,572000000,"['Sequoia Capital China', ' Blackbird Ventures', ' Matrix Partners']"
6,Checkout.com,$40B,2019-05-02,Fintech,London,United Kingdom,Europe,2012,$2B,"Tiger Global Management, Insight Partners, DST Global",40000000000,2000000000,"['Tiger Global Management', ' Insight Partners', ' DST Global']"
7,Instacart,$39B,2014-12-30,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,$3B,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",39000000000,3000000000,"['Khosla Ventures', ' Kleiner Perkins Caufield & Byers', ' Collaborative Fund']"
8,JUUL Labs,$38B,2017-12-20,Consumer & retail,San Francisco,United States,North America,2015,$14B,Tiger Global Management,38000000000,14000000000,['Tiger Global Management']
9,Databricks,$38B,2019-02-05,Data management & analytics,San Francisco,United States,North America,2013,$3B,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",38000000000,3000000000,"['Andreessen Horowitz', ' New Enterprise Associates', ' Battery Ventures']"
10,Revolut,$33B,2018-04-26,Fintech,London,United Kingdom,Europe,2015,$2B,"index Ventures, DST Global, Ribbit Capital",33000000000,2000000000,"['index Ventures', ' DST Global', ' Ribbit Capital']"
11,Epic Games,$32B,2018-10-26,Other,Cary,United States,North America,1991,$7B,"Tencent Holdings, KKR, Smash Ventures",32000000000,7000000000,"['Tencent Holdings', ' KKR', ' Smash Ventures']"
12,FTX,$32B,2021-07-20,Fintech,Unknown,Bahamas,North America,2018,$2B,"Sequoia Capital, Thoma Bravo, Softbank",32000000000,2000000000,"['Sequoia Capital', ' Thoma Bravo', ' Softbank']"
13,Fanatics,$27B,2012-06-06,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,$4B,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",27000000000,4000000000,"['SoftBank Group', ' Andreessen Horowitz', ' Temasek Holdings']"
14,Chime,$25B,2019-03-05,Fintech,San Francisco,United States,North America,2013,$2B,"Forerunner Ventures, Crosslink Capital, Homebrew",25000000000,2000000000,"['Forerunner Ventures', ' Crosslink Capital', ' Homebrew']"
15,BYJU's,$22B,2017-07-25,Edtech,Bengaluru,India,Asia,2008,$4B,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",22000000000,4000000000,"['Tencent Holdings', ' Lightspeed India Partners', ' Sequoia Capital India']"
16,J&T Express,$20B,2021-04-07,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,$5B,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",20000000000,5000000000,"['Hillhouse Capital Management', ' Boyu Capital', ' Sequoia Capital China']"
17,Xiaohongshu,$20B,2016-03-31,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,$918M,"GGV Capital, ZhenFund, Tencent",20000000000,918000000,"['GGV Capital', ' ZhenFund', ' Tencent']"
18,Miro,$18B,2022-01-05,Internet software & services,San Francisco,United States,North America,2011,$476M,"Accel, AltaIR Capital, Technology Crossover Ventures",18000000000,476000000,"['Accel', ' AltaIR Capital', ' Technology Crossover Ventures']"
19,Yuanfudao,$17B,2017-05-31,Edtech,Beijing,China,Asia,2012,$4B,"Tencent Holdings, Warbug Pincus, IDG Capital",17000000000,4000000000,"['Tencent Holdings', ' Warbug Pincus', ' IDG Capital']"
20,Rapyd,$15B,2019-12-03,Fintech,London,United Kingdom,Europe,2016,$770M,"Target Global, General Catalyst, Durable Capital Partners",15000000000,770000000,"['Target Global', ' General Catalyst', ' Durable Capital Partners']"
21,Discord,$15B,2018-04-20,Internet software & services,San Francisco,United States,North America,2012,$979M,"Benchmark, Greylock Partners, Tencent Holdings",15000000000,979000000,"['Benchmark', ' Greylock Partners', ' Tencent Holdings']"
22,Genki Forest,$15B,2020-03-01,Consumer & retail,Beijing,China,Asia,2016,$721M,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",15000000000,721000000,"['Sequoia Capital China', ' Longfor Capitalm', ' Gaorong Capital']"
23,goPuff,$15B,2020-10-08,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,$3B,"Accel, Softbank Group, Anthos Capital",15000000000,3000000000,"['Accel', ' Softbank Group', ' Anthos Capital']"
24,Blockchain.com,$14B,2021-02-17,Fintech,London,United Kingdom,Europe,2011,$490M,"Lightspeed Venture Partners, Google Ventures, Lakestar",14000000000,490000000,"['Lightspeed Venture Partners', ' Google Ventures', ' Lakestar']"
25,Plaid,$13B,2018-12-11,Fintech,San Francisco,United States,North America,2012,$734M,"New Enterprise Associates, Spar Capital, Index Ventures",13000000000,734000000,"['New Enterprise Associates', ' Spar Capital', ' Index Ventures']"
